,epiweek_start,epiweek_middle,epiweek_end,superlineage_combo,Netau_HMM,Netau_HMM_lower,Netau_HMM_upper,T,delta_t
382,19.0,23.0,27.0,2,13155.376903392287,11724.246761694656,14933.014947802798,9,1
383,19.0,23.0,27.0,3,14400.858268437722,12880.506051322911,16583.488908327705,9,1
384,19.0,23.0,27.0,4,14400.858268437722,13073.885333521031,16228.104268944018,9,1
385,19.0,23.0,27.0,5,14066.312422712299,12217.10908250056,15833.800706573747,9,1
386,19.0,23.0,27.0,6,14400.858268437722,13073.885333521031,16232.95262322588,9,1
387,19.0,23.0,27.0,7,14400.858268437722,12783.983559861059,16108.952778508508,9,1
388,19.0,23.0,27.0,8,14400.858268437722,12660.582649437685,16325.64131510364,9,1
389,19.0,23.0,27.0,9,13248.425131009933,12116.3452136902,15040.63071564244,9,1
390,19.0,23.0,27.0,10,15126.99764578336,13753.926324232838,17084.101855178655,9,1
391,19.0,23.0,27.0,11,12902.190570770365,11492.20266522345,14670.281618247398,9,1
392,19.0,23.0,27.0,12,13925.578200407264,12427.467886962831,15432.308310534836,9,1
393,19.0,23.0,27.0,13,14400.858268437722,12879.67473225846,16340.486952481731,9,1
394,19.0,23.0,27.0,14,15126.99764578336,13525.282344081745,17178.52279184846,9,1
395,19.0,23.0,27.0,15,13292.817898382373,12116.3452136902,15043.3547556148,9,1
396,19.0,23.0,27.0,16,14400.858268437722,13073.885333521031,16237.365359943851,9,1
397,19.0,23.0,27.0,17,14218.37927396038,12552.02539195811,16275.415600729071,9,1
398,19.0,23.0,27.0,18,15126.99764578336,13303.699452060513,16928.16171822722,9,1
399,19.0,23.0,27.0,19,14400.858268437722,13073.885333521031,16233.401135668277,9,1
400,20.0,24.0,28.0,0,7875.726911273073,6980.361700095417,8891.19732892572,9,1
401,20.0,24.0,28.0,1,8222.886586892046,7297.118826058518,9064.057508626214,9,1
402,20.0,24.0,28.0,2,8311.93939565003,7366.087935461818,9501.48172971298,9,1
403,20.0,24.0,28.0,3,8698.418517918548,7612.215522099186,9785.571915422848,9,1
404,20.0,24.0,28.0,4,8457.034134216006,7249.749869527061,9298.892824945415,9,1
405,20.0,24.0,28.0,5,8413.20384555483,7484.493737907865,9295.955386211259,9,1
406,20.0,24.0,28.0,6,8681.954312484118,7674.624273265598,9784.245253257255,9,1
407,20.0,24.0,28.0,7,9348.999233018836,8266.733069200838,10477.49340252482,9,1
408,20.0,24.0,28.0,8,8183.966821072644,7116.173826732546,8996.214925578195,9,1
409,20.0,24.0,28.0,9,8769.482101378533,7818.1921105610745,9977.919543324557,9,1
410,20.0,24.0,28.0,10,8253.777815470192,7177.509993643988,9067.467778481652,9,1
411,20.0,24.0,28.0,11,8553.718342601449,7676.680049766923,9535.24877759432,9,1
412,20.0,24.0,28.0,12,8340.981623623376,7376.8906251749195,9447.327047414405,9,1
